block,zone,position,angle,temp_min,temp_max,temp_avg,par,th_b,th_t,th,fucus,sqrt_fucus
1,low,top,35.7,17.4,21.2,20.4,1213,,,,42,6.480740698
2,low,top,22.3,15.35,19.75,17.45,1452,3.6,0,1.8,41,6.403124237
3,low,top,16.4,17.3,20.45,18.5,1485,3.9,0.9,2.4,16,4
4,low,top,18.6,13.7,18.15,16.55,1533,3.9,0.3,2.1,0,0
5,low,top,23.4,17.1,21.05,18.65,1781,3.7,0.2,2.0,37,6.08276253
6,low,top,24.1,14.9,19.75,16.95,1883,3.6,0.1,1.9,23,4.795831523
1,mid,top,11,20.8,23.9,21.95,1648,,,,18,4.242640687
2,mid,top,22.1,90.25,21.35,18.05,1399,2.8,-1.2,0.8,92,9.591663047
3,mid,top,18.8,15.35,22.35,20.3,1596,1.8,-1.1,0.4,70,8.366600265
4,mid,top,19.3,17.1,23.55,19.8,840,2.8,-1.1,0.9,66,8.124038405
5,mid,top,4.1,17.15,25.05,19.85,1577,2.7,-1.3,0.7,35,5.916079783
6,mid,top,12.5,21.35,25.9,23.95,1782,2.3,-1.3,0.5,52,7.211102551
1,low,front,128.4,15.8,16.8,16.2,91,,,,0,0
2,low,front,116.4,11.2,13.6,12.6,267,3.6,0,1.8,0,0
3,low,front,111.4,12.8,15.4,13.7,220,3.9,0.9,2.4,0,0
4,low,front,113,11.8,13.1,12.6,230,3.9,0.3,2.1,0,0
5,low,front,117.9,12.2,13,12.5,250,3.7,0.2,2.0,0,0
6,low,front,118.5,12.8,15.6,13.8,150,3.6,0.1,1.9,0,0
1,mid,front,93.8,10.9,11.7,11.3,158,,,,0,0
2,mid,front,108.9,11.4,12.1,11.5,111,2.8,-1.2,0.8,0,0
3,mid,front,103,12.6,15,13.4,108,1.8,-1.1,0.4,0,0
4,mid,front,106.8,12.6,13.9,13,75,2.8,-1.1,0.9,0,0
5,mid,front,117,12.4,12.8,12.6,41,2.7,-1.3,0.7,1,1
6,mid,front,107.4,10.9,13.1,11.9,133,2.3,-1.3,0.5,1,1
1,low,back,59.4,19.8,22.4,21.1,444,,,,10,3.16227766
2,low,back,72.7,13.6,15.3,14.3,387,3.6,0,1.8,40,6.32455532
3,low,back,80.8,16.8,20,18.4,902,3.9,0.9,2.4,11,3.31662479
4,low,back,76.5,13.1,16.5,14.8,359,3.9,0.3,2.1,42,6.480740698
5,low,back,71,13.5,15.6,14,490,3.7,0.2,2.0,67,8.185352772
6,low,back,90.5,12.6,17.4,14.7,816,3.6,0.1,1.9,45,6.708203932
1,mid,back,75,11.4,13.4,12,1158,,,,1,1
2,mid,back,60.4,19.6,27.3,23.1,108,2.8,-1.2,0.8,7,2.645751311
3,mid,back,66.2,17.2,23.6,19.4,714,1.8,-1.1,0.4,5,2.236067977
4,mid,back,64.9,20.1,29.6,24.9,1046,2.8,-1.1,0.9,2,1.414213562
5,mid,back,72.9,14.9,16.5,15,1241,2.7,-1.3,0.7,38,6.164414003
6,mid,back,81.5,18.4,30.1,23.3,611,2.3,-1.3,0.5,21,4.582575695
1,low,south,102,15.3,19.8,16.9,1447,,,,7,2.645751311
2,low,south,99.2,20.7,22.4,21.8,1449,3.6,0,1.8,1,1
3,low,south,92,17.4,20.1,18.8,1426,3.9,0.9,2.4,0,0
4,low,south,99.4,19.9,25.6,22.7,1687,3.9,0.3,2.1,0,0
5,low,south,93.6,15.3,20.9,17.4,903,3.7,0.2,2.0,0,0
6,low,south,71.6,18.1,20.1,19.1,326,3.6,0.1,1.9,0,0
1,mid,south,83,20.9,30.8,24.7,1544,,,,10,3.16227766
2,mid,south,78.3,15.8,23.9,18.3,1351,2.8,-1.2,0.8,29,5.385164807
3,mid,south,83,9.4,13.6,10.3,1403,1.8,-1.1,0.4,18,4.242640687
4,mid,south,79.2,12.6,17.1,13.8,74,2.8,-1.1,0.9,2,1.414213562
5,mid,south,81,11.6,16.8,12.9,481,2.7,-1.3,0.7,0,0
6,mid,south,81.7,11.6,18.6,14,498,2.3,-1.3,0.5,3,1.732050808
1,low,north,89.8,15,15.4,15.3,115,,,,0,0
2,low,north,88.8,11.2,12.8,11.6,133,3.6,0,1.8,0,0
3,low,north,95,13.9,14.9,14.1,103,3.9,0.9,2.4,2,1.414213562
4,low,north,87.9,10.1,10.6,10.4,32,3.9,0.3,2.1,0,0
5,low,north,97.8,11.1,11.8,11.4,90,3.7,0.2,2.0,1,1
6,low,north,101.4,12.2,12.7,12.4,128,3.6,0.1,1.9,2,1.414213562
1,mid,north,86.7,18.3,28.4,22.7,92,,,,21,4.582575695
2,mid,north,81.8,11.4,13,11.9,92,2.8,-1.2,0.8,37,6.08276253
3,mid,north,83.6,15,21.4,17.9,101,1.8,-1.1,0.4,69,8.306623863
4,mid,north,87.5,20.3,22.9,21.1,38,2.8,-1.1,0.9,6,2.449489743
5,mid,north,106.3,16.7,27.4,21.9,126,2.7,-1.3,0.7,53,7.280109889
6,mid,north,106.6,17.4,22.6,19.1,100,2.3,-1.3,0.5,33,5.744562647
