ftu,site,cover,coverclass
Ulva spp.,Taxonomic group,,green seaweed
Ulva enteromorpha,Taxonomic group,,green seaweed
Bryopsis sp.,Taxonomic group,,green seaweed
Green filamentous sp.,Taxonomic group,,green seaweed
diatoms,Taxonomic group,,diatoms
Fucus distichus,Taxonomic group,,brown seaweed
Sargassum muticum,Taxonomic group,,brown seaweed
Mastocarpus papillatus,Taxonomic group,,red seaweed
Red crust,Taxonomic group,,red seaweed
Pyropia sp.,Taxonomic group,,red seaweed
Caulacanthus okamurae,Taxonomic group,,red seaweed
Polysiphonia sp.,Taxonomic group,,red seaweed
Chondracanthus exasperatus,Taxonomic group,,red seaweed
Mastocarpus jardinii,Taxonomic group,,red seaweed
Callithamnion pikeanum,Taxonomic group,,red seaweed
Halymenia schizymenioides,Taxonomic group,,red seaweed
Mazzaella spp.,Taxonomic group,,red seaweed
Coralline crust,Taxonomic group,,red seaweed
Cryptosiphonia woodii,Taxonomic group,,red seaweed
SF marina species,Taxonomic group,,red seaweed
Grateloupia sp.,Taxonomic group,,red seaweed
Pikea californica,Taxonomic group,,red seaweed
Polyneura latissma,Taxonomic group,,red seaweed
Prionitis sp.,Taxonomic group,,red seaweed
Red filamentous algae,Taxonomic group,,red seaweed
Lichen,Taxonomic group,,lichen
Balanoid spp.,Taxonomic group,,barnacle
Chthalamus spp.,Taxonomic group,,barnacle
Ostrea lurida,Taxonomic group,,bivalve
Mytilus spp.,Taxonomic group,,bivalve
unidentified clam,Taxonomic group,,bivalve
Diadumene lineata,Taxonomic group,,anemone
Schizoporella sp.,Taxonomic group,,bryozoa
Encrusting Bryozoan spp.,Taxonomic group,,byrozoa
Region,SF Marina,,Golden Gate
Region,Horseshoe Bay,,Golden Gate
Region,Dunphy Park,,Golden Gate
Region,Brickyard Park,,Golden Gate
Region,RTC Beach,,Tiburon
Region,RTC Theater,,Tiburon
Region,RTC North Dock,,Tiburon
Region,Pt. Chauncey,,Tiburon
Region,Pt. Chauncey Beach S,,Tiburon
Region,Pt. Chauncey Beach N,,Tiburon
Region,Paradise Beach Park,,Tiburon
Region,Paradise Cay,,Tiburon
Region,San Quentin Beach,,Tiburon
Region,Starkweather Park,,Tiburon
Region,Pt. San Pablo,,Richmond
Region,Pt. Orient N,,Richmond
Region,Pt. Orient S,,Richmond
Region,Pt. Molate,,Richmond
Region,Keller Beach,,Richmond
Region,Miller Knox,,Richmond
