slope_avg,width_avg_m,rugosity_avg,site_code
9.979646891,4.443984,1.143640693,BPB
11.35841037,5.846064,1.088586707,DPR
15.81146244,2.7432,1.352728025,HBR
11.90980006,4.550664,1.148626321,KBB
19.19750033,3.084576,1.281444698,MKR
148.5,0.146304,1,PBS
17.21246044,3.724656,1.218193637,PCB
13.02868973,5.035296,1.119565299,PCC
19.55795847,3.310128,0.692049373,PCR
15.41765241,2.9864304,1.484747069,PCW
17.40260721,3.285744,1.127182167,PMB
11.63182609,6.26872,1.104234528,POB
14.79824888,3.986784,,POC
14.62482049,4.029456,1.099307056,RRR
12.57325214,5.809488,1.177800732,RTCC
16.31851637,4.462272,1.240805879,RTCR
62.51850872,1.286256,1,RTCS
81.18643947,0.9595104,1.202740743,SFMS
14.73219929,4.486656,1.154063256,SQB
16.48692692,3.590544,1.345280227,SWR
