site_name,site_code,site_type,bay_perim_order,lat,long,notes
SF Marina,SFMS,seawall,1,37.807244,-122.438944,
Horseshoe Bay,HCR,riprap,2,37.833852,-122.476069,
Dunphy Park,DPR,riprap,3,37.861372,-122.487564,
Brickyard Park,BPB,bench,4,37.881823,-122.50356,
RTC Beach,RTCC,cobble,5,37.888732,-122.445484,
RTC Theater,RTCS,seawall,6,37.891512,-122.447081,
RTC North Dock,RTCR,riprap,7,37.892866,-122.447704,
Pt. Chauncey,PCW,blocks,8,37.894254,-122.449698,
Pt. Chauncey Beach S ,PCC,cobble,9,37.894079,-122.450294,
Pt. Chauncey Beach N,PCB,bench,10,37.893957,-122.450961,
Paradise Beach Park,PBS,seawall,11,37.893975,-122.456983,
Paradise Cay,PCR,riprap,12,37.916335,-122.477833,
San Quentin Beach,SQB,bench,13,37.940679,-122.4832,
Starkweather Park,SWR,riprap,14,37.946293,-122.483637,
Pt. San Pablo,RRR,riprap,15,37.965049,-122.425005,
Pt. Orient N,POC,cobble,16,37.96165,-122.42738,
Pt. Orient S,POB,bench,17,37.961273,-122.427631,
Pt. Molate,PMB,bench,18,37.939322,-122.411061,
Keller Beach,KBB,bench,19,37.922568,-122.389068,
Miller Knox,MKR,riprap,20,37.918916,-122.386726,
